"BW","fBW_kidney","fBW_liver","fBW_lung","fBW_heart","fBW_brain","fBW_adipose","fBW_muscle","fBW_blood","fBW_carcass","fBW_intestine","fBW_stomach","CO","fCO_kidney","fCO_intestine","fCO_lung","fCO_heart","fCO_brain","fCO_adipose","fCO_muscle","fCO_carcass","fCO_stomach","fCO_liver","int_nl","int_pl","int_pr","int_w","exp_nl","exp_pl","exp_pr","exp_w","intestine_nl","intestine_pl","intestine_pr","intestine_w","liver_nl","liver_pl","liver_pr","liver_w","kidney_nl","kidney_pl","kidney_pr","kidney_w","heart_nl","heart_pl","heart_pr","heart_w","brain_nl","brain_pl","brain_pr","brain_w","adipose_nl","adipose_pl","adipose_pr","adipose_w","muscle_nl","muscle_pl","muscle_pr","muscle_w","carcass_nl","carcass_pl","carcass_pr","carcass_w","lung_nl","lung_pl","lung_pr","lung_w","blood_nl","blood_pl","blood_pr","blood_w","mamgland_nl","mamgland_pl","mamgland_pr","mamgland_w","reprod_nl","reprod_pl","reprod_pr","reprod_w","nl","pl","pr","w","kabs","Cl_renal","Cl_hepatic","Vmax_tot","Km_tot","fbact","MW","S","Pv","Kow","fBW_abomasum","fBW_omasum","fBW_rumen","fBW_reticulum","fBW_gizzard","fBW_crop","fBW_mamgland","fBW_reprod","fCO_blood","fCO_abomasum","fCO_omasum","fCO_rumen","fCO_reticulum","fCO_gizzard","fCO_crop","fCO_mamgland","fCO_reprod","Qingest","kgastric","Qmilk","Qegg","fbile"
78.7601724110883,0.00377696248765337,0.0255797273052622,0.00940484682073176,0.00404911530174381,0.00460048079992546,0.101558627572246,0.472569978452168,0.0340885776488461,0.157213621922448,0.0391636267151485,0.00445000165579142,5.72404297780828,0.10763268201165,0.29870139925201,0.0186299415469519,0.0852644787422583,0.00785053727831516,0.073451091880274,0.219990593237988,0.0467077867571492,0.0170162080817945,0.0263286940681571,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
115.936935715391,0.00310775809345665,0.0215760964593557,0.00793778092345446,0.00507526525633388,0.00144596382912691,0.159516442782064,0.406237552788882,0.0292300906991157,0.15297733180661,0.0415296508276147,0.0173004228984059,2.87765710898102,0.102507651426353,0.354345152097444,0.0341190557024207,0.0724022154496413,0.0123127289135337,0.0702030429925885,0.25864356188174,0.0436631784856868,0.0193486194136704,0.067309652746499,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
119.812318831497,0.00431730087428556,0.0205658080666183,0.00920188502622798,0.00344817430718402,0.00390041806267685,0.177528510715346,0.502910767845551,0.0269269829218862,0.131351230191812,0.0352929554053799,0.0115878404434115,7.21998184696274,0.0923722171452866,0.312702704569718,0.0452787773444714,0.0254686109852371,0.0210324521628831,0.0626024727772926,0.158072861035307,0.0539693785979466,0.0170846472997813,0.0371264593034761,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
66.6217210738037,0.0035556450354259,0.0162145434638947,0.0106029929102456,0.00402006350303279,0.00318317907919334,0.16565715273598,0.479018211548134,0.0430834629828735,0.158981426310159,0.0341985552467993,0.0200810682843622,1.39707035852186,0.113507409343863,0.189225702185955,0.0238571280481712,0.0446848481422384,0.00828813299210298,0.0690201189801102,0.31389250814778,0.0817546367385528,0.0173848090357688,0.0512255868430756,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
118.075664006322,0.00386497618663575,0.0229656005828743,0.0117238285789914,0.0039425380954369,0.0015014936947576,0.135163987066898,0.507858946164157,0.0191672529350595,0.16594231204878,0.0424255290558634,0.0145752444999267,1.57055997316992,0.14321465912466,0.230570573390748,0.0219864309939115,0.0299652314058798,0.0172621330655761,0.0443383749978357,0.130886833150925,0.107743794663335,0.0186902525887351,0.0274965820095965,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
91.0636404749024,0.00399536330189341,0.0212964461257528,0.0110013369388415,0.00373713777662051,0.00521862033962923,0.198371876922829,0.453254688283923,0.0179899460628152,0.144914498788083,0.0384659381814186,0.00590383850391446,5.28208949983934,0.0946263516792054,0.207536813595177,0.0272309182247899,0.0421971704209704,0.045458183268372,0.0549121947546934,0.265757162443468,0.0475138945047609,0.018077069184082,0.0868164016665588,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
120.845871723416,0.00378027524023112,0.0288666973459912,0.00936451962750715,0.00453381265092565,0.00443401928749159,0.185814523720389,0.452064913407201,0.0245487831911435,0.157135981368817,0.035220652407331,0.0061054274908883,4.24519520302674,0.0923349105813098,0.3297304386805,0.0386596502809135,0.0488717219513951,0.0188787352009612,0.0453026541285099,0.34241568604894,0.0672433382575546,0.0206667176271372,0.071787639418432,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
108.376928296727,0.00418692089006459,0.0149921880482639,0.00973428292749968,0.00369574930658,0.000456747965835276,0.19191089774504,0.436316527902682,0.0180735867757937,0.162835780699093,0.0370161199509397,0.0155049563599668,6.59944255021074,0.117529067603335,0.1993168391054,0.0180053291547144,0.0468903677756555,0.00513713378783101,0.107145961971379,0.204608714891625,0.0769194184601675,0.0168793534621013,0.0486647097472088,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
138.724115767768,0.00374768343990153,0.0172714951373343,0.0115944262025705,0.00443237937754694,0.00209202933302643,0.133911899728507,0.460639763957832,0.0261783033069927,0.154715693704735,0.0355662916521957,0.0203245993407887,3.75094741303598,0.104183701058007,0.423787126897506,0.0224254334412635,0.0504832939428956,0.0208948724281216,0.0332189846098229,0.212389812112817,0.0660328860472887,0.0177458008734448,0.090991589927763,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
166.356207457041,0.00350814389341963,0.022441001111046,0.00915293426168891,0.00406198235844403,0.00121442591025261,0.174348851833101,0.47352884696664,0.0338895503226834,0.138640236145244,0.0337710985912049,0.0333330718349543,1.65130225285474,0.12500671625477,0.351942332991883,0.0257672524935343,0.0420177001501812,0.0111878869150081,0.0630938112255419,0.247568154449201,0.0413278548474115,0.0165105629665624,0.0575849546334343,0.04,2,2.9,1,1,0.94,0.63,0,0.045,0.02,0.139,0.792,0.02,0.049,0.179,0.727,0.013,0.038,0.173,0.776,0.047,0.051,0.169,0.734,0.043,0.067,0.08,0.79,0.794,0,0.057,0.157,0.005,0.006,0.172,0.782,0.017,0.003,0.193,0.328,0.015,0.036,0.125,0.84,0.005,0.011,0.168,0.804,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.61,1e-04,0.01253,1.68,5.79310344827586,0,296.319,55000,6.8e-11,0.194984459975805,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.85,0.004166667,0,NA,0.97
