"blood_t0","blood_t0.25","blood_t0.5","blood_t0.75","blood_t1","blood_t1.25","blood_t1.5","blood_t1.75","blood_t2","blood_t2.25","blood_t2.5","blood_t2.75","blood_t3","blood_t3.25","blood_t3.5","blood_t3.75","blood_t4","wholebody_t0","wholebody_t0.25","wholebody_t0.5","wholebody_t0.75","wholebody_t1","wholebody_t1.25","wholebody_t1.5","wholebody_t1.75","wholebody_t2","wholebody_t2.25","wholebody_t2.5","wholebody_t2.75","wholebody_t3","wholebody_t3.25","wholebody_t3.5","wholebody_t3.75","wholebody_t4"
0,49.2679860290689,46.1356040404597,40.2317197769525,34.1949315707768,28.7503125006581,24.0576450722277,20.0882631511906,16.7578988494801,13.9737182744462,11.6498809019184,9.71166648814581,8.09560510374617,6.748346329531,5.62525271087905,4.68905360702008,3.90865804903673,0,28.5130340143547,33.6803770914774,31.7788321048399,27.8762754139011,23.7558728463245,19.9965096038867,16.7412434320286,13.9822344156076,11.6653661605678,9.72771444099635,8.11015778048723,6.76091714323976,5.63589615095463,4.69798735420031,3.91612804991434,3.26437624163889
0,47.7162467153954,44.2892398381545,38.4718375318854,32.6557426949962,27.4509276519959,22.9776511551152,19.1970221502686,16.0249361389062,13.3719672396394,11.1563260936182,9.30710016052744,7.76413248043579,6.47686634089634,5.40298796172006,4.50714730552734,3.75983612989193,0,27.0629163060469,31.9055166330949,30.0902145135483,26.3981810779334,22.5055291842997,18.9548221062613,15.8795219579294,13.2718100705649,11.0806723007781,9.24693909471293,7.71504768992336,6.43633134204413,5.36932749172522,4.47912530833495,3.73648178051044,3.11695753832511
0,49.2598183930171,45.262892564752,39.1669156591397,33.2182283016821,27.9392740577537,23.4136642707509,19.5892558233337,16.3775882752715,13.6879845333673,11.4383884287391,9.55787162898701,7.98627866471966,6.67301061527637,5.57566280029253,4.65875615662917,3.89262809716863,0,27.4641905636949,32.4547689718409,30.6932547544147,26.9946482526172,23.0645580942788,19.463833069512,16.335593675795,13.6766153663233,11.4378469910995,9.56080231803332,7.99000502958351,6.67660667174012,5.57884969573851,4.66148777758648,3.89493648881174,3.25442581961709
0,47.9976677757501,44.6747951796808,38.7605005468406,32.8199881634893,27.5075288251593,22.9518369036544,19.1123762942849,15.9009007468469,13.2236971770862,10.9952387068332,9.14156497765242,7.60011596748293,6.31847910239359,5.25292948696052,4.36705929386666,3.63057930442905,0,27.3159234392575,32.1831494744712,30.3057660480217,26.5286669871502,22.5561070408593,18.940618790242,15.8172418927707,13.1763843281153,10.9642672345346,9.11896125541731,7.58250672453608,6.30428422421079,5.24129571149141,4.35745037448729,3.62261452766218,3.01168772727721
0,51.5992115999623,47.9634883082927,41.7134290273888,35.456575979002,29.8520209802194,25.0292334641444,20.9471576838919,17.5165576625523,14.6424805510375,12.2379903483798,10.2276081459739,8.5472023105525,7.14278529417248,5.96909367661696,4.98824683038623,4.16856822031377,0,29.6425451495497,34.9790271623776,33.0340824377804,29.0261180826035,24.7871305307546,20.9123406973578,17.5500728523842,14.6938907019625,12.2896995286863,10.274089532812,8.58726761808307,7.17672363236219,5.99762585259473,5.01215430999421,4.1885709967981,3.50030358041901
0,53.0147983788571,48.8127783879836,42.2916653402508,35.8921720092786,30.2000013235195,25.3155310882691,21.1859451699058,17.7169309449385,14.8110602327382,12.3799765232176,10.3472474766414,8.64802643495629,7.2277550070426,6.04069984195271,5.04858801670135,4.21941350531254,0,30.2322504232535,35.7099788859322,33.7460826580405,29.6646367843712,25.3399437810525,21.3832649860734,17.9481698656019,15.0291851736037,12.5715975762315,10.5108907351522,8.78610269606223,7.3436446089701,6.13773979784221,5.12975914040958,4.2872789647468,3.58314875668979
0,47.5669961364341,44.4717003674166,38.7440704093328,32.9444921394407,27.7312591202483,23.2403185438405,19.438610282176,16.2445794183605,13.5700414836193,11.333842178133,9.46539203023629,7.90468363184049,6.60120728708431,5.51263311446285,4.60355552372085,3.84438647100835,0,27.4132811278269,32.3953065513209,30.6161741334254,26.9068010967994,22.9734628099644,19.3744748493557,16.2507559033891,13.5976807512896,11.3653840016248,9.49491624262381,7.93053720582759,6.62324825558062,5.53120899021739,4.61913190449283,3.85741817748811,3.22130099550631
0,46.6587482083266,43.9824005729422,38.4862268747847,32.8063846493553,27.6603817612442,23.2103568940193,19.4349890090174,16.2583075621253,13.5950883130912,11.3659573867303,9.50151544411695,7.94260663973519,6.63935266137304,5.5498986775482,4.63919746949922,3.8779301634483,0,26.9812856952891,31.8515731980362,30.1065742995782,26.4729770330745,22.6195419264764,19.0920336401685,16.028313365403,13.4241255666468,11.2310453953705,9.39174531721809,7.85197734473615,6.56401891104972,5.48708599289067,4.58675183865519,3.8341130801571,3.20496198237584
0,51.7722312250693,47.7884714554279,41.4005156793359,35.1277382556344,29.5528934672287,24.7712982265427,20.7294751203804,17.3344663320033,14.4907180917906,12.1116963842031,10.1225744823634,8.45987322509156,7.0701852530616,5.90874228386509,4.9380796382109,4.12686804354137,0,29.1206948839699,34.4133846184782,32.5492678566967,28.6318900734494,24.468236247931,20.6526202933006,17.3369234627173,14.5179762741878,12.1440024693508,10.1531734588943,8.48680601051855,7.09320775464541,5.92817701659436,4.95439511308685,4.14053100280417,3.46034659871289
0,51.820095933874,47.34723705459,40.8875473269837,34.6634971817709,29.1637248079151,24.4555192510812,20.4775329041263,17.1355270916732,14.3348199309918,11.9903326202352,10.0287154466869,8.38780364549722,7.01529963987351,5.86734966259398,4.90723346830825,4.10422371574822,0,29.0718136459281,34.3061132651257,32.4160961101687,28.503467988886,24.3597426978852,20.5682549176582,17.2753298567553,14.4756663878258,12.1170817568228,10.1380725274296,8.48051873496018,7.09331179007527,5.93277142274864,4.96201532959858,4.15006570172215,3.47096493205368
